Index,Minute,Team,Player,Position,Type,Shot outcome,Origin_Xcoord,Origin_Ycoord,Destination_Xcoord,Destination_Ycoord,Pass_Recipient
5,0,France,Antoine Griezmann,Center Attacking Midfield,Pass,,61,40.1,48,43.2,Aurélien Djani Tchouaméni
8,0,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,49.7,43.6,96,1.8,Olivier Giroud
10,0,Argentina,Nahuel Molina Lucero,Right Back,Pass,,22.7,80,36,75.2,Rodrigo Javier De Paul
16,0,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,41.1,73.9,23.2,62.8,Cristian Gabriel Romero
19,0,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,24.7,59.4,21.5,32.2,Nicolás Hernán Otamendi
22,0,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,24,27.1,21.7,49.3,Cristian Gabriel Romero
25,0,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,22.1,49.8,24,27.3,Nicolás Hernán Otamendi
28,0,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,21.7,24.5,26.6,3.1,Nicolás Alejandro Tagliafico
32,0,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,29.2,2.5,45.6,4.2,Alexis Mac Allister
38,1,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,44.1,3.8,20.8,11.9,Nicolás Hernán Otamendi
40,1,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,21.7,17.7,19.7,33.3,Cristian Gabriel Romero
43,1,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,30.9,42.5,27.9,22.6,Nicolás Hernán Otamendi
46,1,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,29.8,29.2,27,45.9,Cristian Gabriel Romero
49,1,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,32.1,54.5,25.9,31.6,Nicolás Hernán Otamendi
52,1,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,24.7,29,5.6,42.3,Damián Emiliano Martínez
56,1,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,3.9,43.4,53.1,72.9,
61,1,France,Theo Bernard François Hernández,Left Back,Pass,,68.5,5.7,72.1,13.4,Adrien Rabiot
64,1,France,Adrien Rabiot,Left Defensive Midfield,Pass,,72.3,13.4,73.6,4.7,Theo Bernard François Hernández
68,1,France,Theo Bernard François Hernández,Left Back,Pass,,73.2,4,47.1,7.4,
